"행정구역","2025년10월_계_총인구수","2025년10월_계_연령구간인구수","2025년10월_계_0~9세","2025년10월_계_10~19세","2025년10월_계_20~29세","2025년10월_계_30~39세","2025년10월_계_40~49세","2025년10월_계_50~59세","2025년10월_계_60~69세","2025년10월_계_70~79세","2025년10월_계_80~89세","2025년10월_계_90~99세","2025년10월_계_100세 이상","2025년10월_남_총인구수","2025년10월_남_연령구간인구수","2025년10월_남_0~9세","2025년10월_남_10~19세","2025년10월_남_20~29세","2025년10월_남_30~39세","2025년10월_남_40~49세","2025년10월_남_50~59세","2025년10월_남_60~69세","2025년10월_남_70~79세","2025년10월_남_80~89세","2025년10월_남_90~99세","2025년10월_남_100세 이상","2025년10월_여_총인구수","2025년10월_여_연령구간인구수","2025년10월_여_0~9세","2025년10월_여_10~19세","2025년10월_여_20~29세","2025년10월_여_30~39세","2025년10월_여_40~49세","2025년10월_여_50~59세","2025년10월_여_60~69세","2025년10월_여_70~79세","2025년10월_여_80~89세","2025년10월_여_90~99세","2025년10월_여_100세 이상"
"서울특별시 도봉구 (1132000000)","300,627","300,627","11,975","21,275","33,778","37,286","39,776","52,339","53,162","32,821","15,875","2,268","72","145,105","145,105","6,203","11,034","16,543","19,150","20,015","25,175","24,873","15,099","6,377","622","14","155,522","155,522","5,772","10,241","17,235","18,136","19,761","27,164","28,289","17,722","9,498","1,646","58"
"서울특별시 노원구 (1135000000)","485,290","485,290","23,134","44,488","61,827","60,984","69,334","84,393","72,571","44,373","20,720","3,369","97","232,209","232,209","11,881","23,039","31,065","30,764","33,199","40,551","33,635","19,549","7,658","850","18","253,081","253,081","11,253","21,449","30,762","30,220","36,135","43,842","38,936","24,824","13,062","2,519","79"
"서울특별시 은평구 (1138000000)","456,727","456,727","20,650","33,769","56,653","66,722","65,187","76,855","69,087","43,594","21,241","2,902","67","215,901","215,901","10,605","17,202","26,227","32,521","32,147","36,931","32,039","18,891","8,457","865","16","240,826","240,826","10,045","16,567","30,426","34,201","33,040","39,924","37,048","24,703","12,784","2,037","51"
"서울특별시 서대문구 (1141000000)","300,843","300,843","15,337","21,781","45,468","44,865","42,299","47,796","41,759","25,458","13,956","2,066","58","142,192","142,192","7,865","10,807","20,674","22,070","20,883","23,225","19,635","11,058","5,349","616","10","158,651","158,651","7,472","10,974","24,794","22,795","21,416","24,571","22,124","14,400","8,607","1,450","48"
"서울특별시 마포구 (1144000000)","358,523","358,523","18,380","25,776","55,270","64,636","54,672","55,844","42,750","25,301","13,715","2,129","50","166,399","166,399","9,408","12,829","23,822","30,307","26,224","27,104","20,127","10,669","5,272","630","7","192,124","192,124","8,972","12,947","31,448","34,329","28,448","28,740","22,623","14,632","8,443","1,499","43"
"서울특별시 양천구 (1147000000)","426,242","426,242","22,788","46,290","47,389","51,939","69,572","72,414","62,432","37,154","14,030","2,164","70","207,452","207,452","11,628","23,976","23,692","25,815","33,379","35,756","29,661","17,367","5,649","517","12","218,790","218,790","11,160","22,314","23,697","26,124","36,193","36,658","32,771","19,787","8,381","1,647","58"
"서울특별시 강서구 (1150000000)","550,248","550,248","26,927","40,145","72,362","96,090","82,063","81,528","79,109","49,329","19,436","3,165","94","262,953","262,953","13,817","20,510","32,319","47,740","41,242","39,919","36,405","22,394","7,776","813","18","287,295","287,295","13,110","19,635","40,043","48,350","40,821","41,609","42,704","26,935","11,660","2,352","76"
"서울특별시 구로구 (1153000000)","384,991","384,991","19,750","27,188","46,495","61,275","55,232","60,300","58,160","38,373","16,053","2,121","44","188,215","188,215","10,196","13,726","22,183","31,318","28,219","30,077","27,600","17,489","6,802","597","8","196,776","196,776","9,554","13,462","24,312","29,957","27,013","30,223","30,560","20,884","9,251","1,524","36"
"서울특별시 금천구 (1154500000)","223,588","223,588","8,439","12,080","32,091","39,396","27,699","35,311","36,991","21,224","9,133","1,196","28","112,288","112,288","4,302","6,136","15,254","21,719","14,861","17,774","18,341","9,752","3,817","324","8","111,300","111,300","4,137","5,944","16,837","17,677","12,838","17,537","18,650","11,472","5,316","872","20"
"서울특별시 영등포구 (1156000000)","371,876","371,876","19,886","22,364","53,359","73,888","52,202","54,015","49,005","30,533","14,407","2,159","58","181,545","181,545","10,120","11,537","23,751","37,251","26,728","27,241","24,251","14,021","5,943","689","13","190,331","190,331","9,766","10,827","29,608","36,637","25,474","26,774","24,754","16,512","8,464","1,470","45"
"서울특별시 동작구 (1159000000)","373,084","373,084","17,528","25,072","60,462","61,380","51,393","56,484","50,166","32,792","15,523","2,227","57","179,993","179,993","8,980","12,781","28,809","31,316","25,794","27,533","23,344","14,269","6,508","644","15","193,091","193,091","8,548","12,291","31,653","30,064","25,599","28,951","26,822","18,523","9,015","1,583","42"
"서울특별시 관악구 (1162000000)","478,282","478,282","14,037","23,799","102,108","93,476","58,126","64,656","60,100","40,821","18,895","2,220","44","240,622","240,622","7,181","12,028","48,964","52,297","31,401","33,255","28,719","18,074","8,023","674","6","237,660","237,660","6,856","11,771","53,144","41,179","26,725","31,401","31,381","22,747","10,872","1,546","38"
"서울특별시 서초구 (1165000000)","413,236","413,236","26,349","45,423","48,272","57,630","71,156","67,863","48,550","32,262","13,536","2,132","63","196,315","196,315","13,603","22,945","22,770","26,760","32,769","33,400","22,650","14,514","6,196","691","17","216,921","216,921","12,746","22,478","25,502","30,870","38,387","34,463","25,900","17,748","7,340","1,441","46"
"서울특별시 강남구 (1168000000)","556,462","556,462","32,063","64,218","63,755","80,791","100,229","88,407","63,581","43,588","17,058","2,681","91","265,939","265,939","16,460","33,502","29,936","38,040","45,645","44,323","29,801","19,578","7,869","766","19","290,523","290,523","15,603","30,716","33,819","42,751","54,584","44,084","33,780","24,010","9,189","1,915","72"
"서울특별시 송파구 (1171000000)","645,052","645,052","39,559","56,837","77,178","105,985","104,000","98,488","87,884","52,824","19,056","3,152","89","308,877","308,877","20,326","28,689","36,018","50,806","50,077","47,706","41,066","24,958","8,354","857","20","336,175","336,175","19,233","28,148","41,160","55,179","53,923","50,782","46,818","27,866","10,702","2,295","69"
"서울특별시 강동구 (1174000000)","499,216","499,216","32,265","43,553","56,113","77,439","81,207","75,306","72,310","43,336","15,204","2,412","71","243,301","243,301","16,794","23,056","26,540","38,142","40,274","37,203","33,812","20,283","6,604","580","13","255,915","255,915","15,471","20,497","29,573","39,297","40,933","38,103","38,498","23,053","8,600","1,832","58"
"부산광역시  (2600000000)","3,246,304","3,246,304","171,569","264,352","342,508","388,377","462,025","531,090","553,215","359,552","152,558","20,620","438","1,578,085","1,578,085","87,901","135,387","174,571","200,727","233,721","260,721","259,615","161,684","58,804","4,902","52","1,668,219","1,668,219","83,668","128,965","167,937","187,650","228,304","270,369","293,600","197,868","93,754","15,718","386"
"부산광역시 중구 (2611000000)","36,645","36,645","629","1,507","4,753","4,101","3,882","5,982","7,223","5,609","2,600","351","8","17,735","17,735","333","743","2,172","2,267","2,095","3,148","3,462","2,459","970","85","1","18,910","18,910","296","764","2,581","1,834","1,787","2,834","3,761","3,150","1,630","266","7"
"부산광역시 서구 (2614000000)","102,191","102,191","4,175","7,024","10,849","10,100","12,828","16,611","19,076","13,937","6,650","915","26","48,963","48,963","2,157","3,617","5,157","5,172","6,523","8,479","9,039","6,130","2,474","210","5","53,228","53,228","2,018","3,407","5,692","4,928","6,305","8,132","10,037","7,807","4,176","705","21"
"부산광역시 동구 (2617000000)","83,997","83,997","3,499","4,508","8,158","10,614","10,574","13,524","15,139","11,460","5,728","778","15","40,734","40,734","1,792","2,281","3,868","5,544","5,687","7,072","7,288","4,991","2,033","177","1","43,263","43,263","1,707","2,227","4,290","5,070","4,887","6,452","7,851","6,469","3,695","601","14"
"부산광역시 영도구 (2620000000)","101,964","101,964","3,616","6,332","8,845","8,916","12,153","16,965","20,612","16,057","7,547","907","14","49,968","49,968","1,855","3,293","4,859","4,773","6,378","8,799","9,940","7,069","2,778","223","1","51,996","51,996","1,761","3,039","3,986","4,143","5,775","8,166","10,672","8,988","4,769","684","13"
"부산광역시 부산진구 (2623000000)","365,577","365,577","18,570","24,439","47,153","53,956","49,297","56,226","58,838","38,012","16,846","2,197","43","174,831","174,831","9,438","12,192","22,019","27,459","25,093","27,480","27,294","16,944","6,346","564","2","190,746","190,746","9,132","12,247","25,134","26,497","24,204","28,746","31,544","21,068","10,500","1,633","41"
"부산광역시 동래구 (2626000000)","273,848","273,848","17,300","26,314","26,110","32,389","42,536","44,658","42,755","28,571","11,641","1,546","28","131,825","131,825","8,857","13,640","13,262","16,184","20,817","21,704","19,456","12,749","4,782","370","4","142,023","142,023","8,443","12,674","12,848","16,205","21,719","22,954","23,299","15,822","6,859","1,176","24"
"부산광역시 남구 (2629000000)","251,227","251,227","12,420","21,942","30,608","26,648","35,105","41,528","40,125","28,431","12,766","1,627","27","121,953","121,953","6,363","11,299","15,977","13,730","17,442","20,565","18,549","12,539","5,083","402","4","129,274","129,274","6,057","10,643","14,631","12,918","17,663","20,963","21,576","15,892","7,683","1,225","23"
"부산광역시 북구 (2632000000)","263,556","263,556","13,426","20,325","25,473","31,467","34,073","45,882","51,815","28,533","10,998","1,526","38","129,145","129,145","6,940","10,493","13,499","16,607","17,442","21,592","24,844","13,258","4,153","316","1","134,411","134,411","6,486","9,832","11,974","14,860","16,631","24,290","26,971","15,275","6,845","1,210","37"
"부산광역시 해운대구 (2635000000)","372,937","372,937","20,396","34,928","36,027","41,109","55,839","66,040","62,073","37,549","16,512","2,410","54","178,448","178,448","10,439","18,003","18,692","20,623","26,861","31,183","28,979","16,815","6,235","608","10","194,489","194,489","9,957","16,925","17,335","20,486","28,978","34,857","33,094","20,734","10,277","1,802","44"
"부산광역시 사하구 (2638000000)","287,305","287,305","12,657","22,817","29,827","30,594","39,341","49,491","53,882","33,874","13,070","1,709","43","142,405","142,405","6,547","11,723","16,080","16,528","20,439","24,510","25,589","15,617","4,985","381","6","144,900","144,900","6,110","11,094","13,747","14,066","18,902","24,981","28,293","18,257","8,085","1,328","37"
"부산광역시 금정구 (2641000000)","207,197","207,197","8,066","15,386","25,980","20,761","25,603","33,980","38,586","25,865","11,312","1,624","34","100,771","100,771","4,074","7,805","13,939","11,236","12,896","16,386","17,977","11,568","4,478","405","7","106,426","106,426","3,992","7,581","12,041","9,525","12,707","17,594","20,609","14,297","6,834","1,219","27"
"부산광역시 강서구 (2644000000)","148,922","148,922","16,489","17,486","10,614","23,578","30,873","18,517","17,621","9,777","3,424","534","9","76,973","76,973","8,420","8,943","5,785","12,054","16,640","10,047","8,714","4,942","1,319","106","3","71,949","71,949","8,069","8,543","4,829","11,524","14,233","8,470","8,907","4,835","2,105","428","6"
"부산광역시 연제구 (2647000000)","211,664","211,664","12,445","17,089","21,630","28,212","31,107","33,817","33,657","22,802","9,645","1,239","21","100,909","100,909","6,336","8,652","10,713","14,057","15,360","16,141","15,344","10,113","3,878","312","3","110,755","110,755","6,109","8,437","10,917","14,155","15,747","17,676","18,313","12,689","5,767","927","18"
"부산광역시 수영구 (2650000000)","169,465","169,465","7,509","11,280","19,946","22,885","23,027","26,155","27,826","20,547","9,002","1,266","22","79,367","79,367","3,820","5,824","9,400","11,574","11,377","12,358","12,137","8,872","3,675","329","1","90,098","90,098","3,689","5,456","10,546","11,311","11,650","13,797","15,689","11,675","5,327","937","21"
"부산광역시 사상구 (2653000000)","194,847","194,847","7,603","13,205","21,674","22,789","24,222","33,789","40,248","22,452","7,907","939","19","97,353","97,353","3,988","6,730","11,162","12,475","12,797","16,867","19,796","10,383","2,979","175","1","97,494","97,494","3,615","6,475","10,512","10,314","11,425","16,922","20,452","12,069","4,928","764","18"
"부산광역시 기장군 (2671000000)","174,962","174,962","12,769","19,770","14,861","20,258","31,565","27,925","23,739","16,076","6,910","1,052","37","86,705","86,705","6,542","10,149","7,987","10,444","15,874","14,390","11,207","7,235","2,636","239","2","88,257","88,257","6,227","9,621","6,874","9,814","15,691","13,535","12,532","8,841","4,274","813","35"
"대구광역시  (2700000000)","2,355,677","2,355,677","135,424","212,954","256,180","284,958","337,270","413,599","378,490","219,375","101,794","15,345","288","1,154,160","1,154,160","69,555","109,304","134,226","152,038","168,031","201,803","180,900","97,220","37,271","3,767","45","1,201,517","1,201,517","65,869","103,650","121,954","132,920","169,239","211,796","197,590","122,155","64,523","11,578","243"
"대구광역시 중구 (2711000000)","100,833","100,833","8,201","7,441","13,555","18,171","14,885","14,207","11,485","7,940","4,280","645","23","48,213","48,213","4,193","3,668","6,174","9,235","7,609","6,925","5,357","3,281","1,581","186","4","52,620","52,620","4,008","3,773","7,381","8,936","7,276","7,282","6,128","4,659","2,699","459","19"
"대구광역시 동구 (2714000000)","339,631","339,631","19,381","25,942","34,151","44,236","46,932","56,245","56,440","36,553","17,253","2,443","55","165,906","165,906","9,954","13,440","17,806","23,673","24,046","27,635","26,339","15,994","6,403","606","10","173,725","173,725","9,427","12,502","16,345","20,563","22,886","28,610","30,101","20,559","10,850","1,837","45"
"대구광역시 서구 (2717000000)","163,395","163,395","6,875","9,633","14,804","19,467","19,448","28,765","33,460","20,608","9,130","1,184","21","80,903","80,903","3,567","4,836","7,882","10,962","10,459","14,630","16,073","8,932","3,313","248","1","82,492","82,492","3,308","4,797","6,922","8,505","8,989","14,135","17,387","11,676","5,817","936","20"
"대구광역시 남구 (2720000000)","135,692","135,692","5,133","8,070","16,037","16,503","16,639","22,719","23,741","16,797","8,641","1,386","26","64,561","64,561","2,675","4,124","7,659","8,900","8,374","11,299","10,887","7,155","3,124","362","2","71,131","71,131","2,458","3,946","8,378","7,603","8,265","11,420","12,854","9,642","5,517","1,024","24"
"대구광역시 북구 (2723000000)","410,934","410,934","22,268","37,702","51,370","48,363","57,469","76,809","64,275","34,226","16,090","2,316","46","203,316","203,316","11,413","19,317","27,474","26,194","28,629","37,679","31,198","15,131","5,739","535","7","207,618","207,618","10,855","18,385","23,896","22,169","28,840","39,130","33,077","19,095","10,351","1,781","39"
"대구광역시 수성구 (2726000000)","409,491","409,491","24,521","47,389","43,226","42,321","63,525","74,447","59,228","34,946","16,997","2,848","43","196,740","196,740","12,641","24,639","22,953","21,354","29,511","35,075","27,918","15,359","6,490","794","6","212,751","212,751","11,880","22,750","20,273","20,967","34,014","39,372","31,310","19,587","10,507","2,054","37"
"대구광역시 달서구 (2729000000)","518,434","518,434","27,763","48,900","59,637","61,178","72,925","95,341","86,143","44,870","18,913","2,720","44","253,743","253,743","14,313","24,887","31,192","32,997","35,846","45,573","41,172","20,204","6,896","651","12","264,691","264,691","13,450","24,013","28,445","28,181","37,079","49,768","44,971","24,666","12,017","2,069","32"
"대구광역시 달성군 (2771000000)","254,935","254,935","20,843","27,059","22,495","33,602","43,824","41,530","37,516","19,026","7,745","1,269","26","129,166","129,166","10,552","13,941","12,552","18,062","22,623","20,958","18,542","8,939","2,733","261","3","125,769","125,769","10,291","13,118","9,943","15,540","21,201","20,572","18,974","10,087","5,012","1,008","23"
"대구광역시 군위군 (2772000000)","22,332","22,332","439","818","905","1,117","1,623","3,536","6,202","4,409","2,745","534","4","11,612","11,612","247","452","534","661","934","2,029","3,414","2,225","992","124","0","10,720","10,720","192","366","371","456","689","1,507","2,788","2,184","1,753","410","4"
"인천광역시  (2800000000)","3,049,315","3,049,315","190,227","275,708","340,606","430,248","474,597","516,389","471,030","230,567","101,612","17,784","547","1,523,210","1,523,210","97,572","141,237","175,746","224,696","244,615","257,983","232,251","107,308","37,706","3,998","98","1,526,105","1,526,105","92,655","134,471","164,860","205,552","229,982","258,406","238,779","123,259","63,906","13,786","449"
"인천광역시 중구 (2811000000)","175,350","175,350","12,809","15,844","21,748","29,028","29,433","26,799","21,199","12,238","5,335","887","30","90,802","90,802","6,617","8,086","10,987","15,768","15,788","14,675","10,861","5,742","2,085","184","9","84,548","84,548","6,192","7,758","10,761","13,260","13,645","12,124","10,338","6,496","3,250","703","21"
"인천광역시 중구영종출장소 (2811400000)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"인천광역시 중구용유출장소 (2811800000)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"인천광역시 동구 (2814000000)","56,662","56,662","2,342","4,185","5,322","6,188","7,992","9,595","9,991","7,038","3,467","526","16","28,360","28,360","1,191","2,225","2,819","3,334","4,303","5,062","4,903","3,095","1,333","91","4","28,302","28,302","1,151","1,960","2,503","2,854","3,689","4,533","5,088","3,943","2,134","435","12"
"인천광역시 미추홀구 (2817700000)","418,353","418,353","23,377","32,437","49,643","58,716","62,739","68,971","64,959","37,414","17,278","2,748","71","210,443","210,443","11,997","16,647","26,204","31,478","33,427","35,316","31,320","16,793","6,587","664","10","207,910","207,910","11,380","15,790","23,439","27,238","29,312","33,655","33,639","20,621","10,691","2,084","61"
"인천광역시 연수구 (2818500000)","408,563","408,563","32,715","47,374","45,781","56,883","71,010","68,114","53,975","21,630","9,183","1,840","58","202,185","202,185","16,621","24,238","23,647","28,304","34,953","33,354","26,890","10,369","3,397","406","6","206,378","206,378","16,094","23,136","22,134","28,579","36,057","34,760","27,085","11,261","5,786","1,434","52"
"인천광역시 남동구 (2820000000)","480,709","480,709","23,933","44,554","54,390","60,683","73,463","84,749","78,980","40,144","16,937","2,786","90","238,439","238,439","12,312","22,949","27,980","32,223","37,444","42,034","38,294","18,385","6,197","606","15","242,270","242,270","11,621","21,605","26,410","28,460","36,019","42,715","40,686","21,759","10,740","2,180","75"
"인천광역시 부평구 (2823700000)","491,474","491,474","26,402","38,251","55,492","74,040","70,864","84,194","81,375","40,002","17,719","3,054","81","241,359","241,359","13,623","19,679","27,981","38,590","36,281","40,613","39,195","18,196","6,490","699","12","250,115","250,115","12,779","18,572","27,511","35,450","34,583","43,581","42,180","21,806","11,229","2,355","69"
"인천광역시 계양구 (2824500000)","277,907","277,907","12,014","21,464","31,937","37,094","37,542","52,885","53,054","20,858","9,279","1,712","68","138,314","138,314","6,148","10,844","16,728","19,761","19,324","25,525","26,435","9,987","3,169","381","12","139,593","139,593","5,866","10,620","15,209","17,333","18,218","27,360","26,619","10,871","6,110","1,331","56"
"인천광역시 서구 (2826000000)","651,032","651,032","53,550","66,472","69,978","101,140","112,704","107,158","86,012","36,793","14,534","2,598","93","327,291","327,291","27,475","33,922","35,539","51,516","58,250","53,840","43,352","17,521","5,296","560","20","323,741","323,741","26,075","32,550","34,439","49,624","54,454","53,318","42,660","19,272","9,238","2,038","73"
"인천광역시 서구검단출장소 (2826500000)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"인천광역시 강화군 (2871000000)","69,617","69,617","2,559","4,250","4,151","4,843","6,920","10,812","16,693","11,499","6,539","1,328","23","34,809","34,809","1,336","2,182","2,323","2,621","3,617","5,704","8,368","5,696","2,613","341","8","34,808","34,808","1,223","2,068","1,828","2,222","3,303","5,108","8,325","5,803","3,926","987","15"
"인천광역시 옹진군 (2872000000)","19,648","19,648","526","877","2,164","1,633","1,930","3,112","4,792","2,951","1,341","305","17","11,208","11,208","252","465","1,538","1,101","1,228","1,860","2,633","1,524","539","66","2","8,440","8,440","274","412","626","532","702","1,252","2,159","1,427","802","239","15"
"광주광역시  (2900000000)","1,395,869","1,395,869","87,047","144,260","172,880","173,822","214,114","241,723","193,265","108,933","51,416","8,218","191","688,690","688,690","44,353","74,345","90,252","90,362","106,919","119,772","92,731","48,350","19,617","1,966","23","707,179","707,179","42,694","69,915","82,628","83,460","107,195","121,951","100,534","60,583","31,799","6,252","168"
"광주광역시 동구 (2911000000)","105,148","105,148","6,590","7,630","13,549","14,206","14,080","15,600","15,436","11,102","6,023","915","17","51,500","51,500","3,420","3,885","6,793","7,312","7,336","7,835","7,280","4,849","2,508","278","4","53,648","53,648","3,170","3,745","6,756","6,894","6,744","7,765","8,156","6,253","3,515","637","13"
"광주광역시 서구 (2914000000)","275,824","275,824","14,818","26,746","36,173","33,677","40,697","49,607","39,498","22,499","10,396","1,673","40","134,797","134,797","7,579","14,086","18,544","17,580","19,953","24,043","18,584","9,978","4,022","428","0","141,027","141,027","7,239","12,660","17,629","16,097","20,744","25,564","20,914","12,521","6,374","1,245","40"
"광주광역시 남구 (2915500000)","207,912","207,912","12,805","22,994","21,965","23,030","32,461","32,894","30,473","20,133","9,556","1,550","51","99,373","99,373","6,495","11,451","11,290","11,574","15,861","15,930","13,839","8,749","3,798","375","11","108,539","108,539","6,310","11,543","10,675","11,456","16,600","16,964","16,634","11,384","5,758","1,175","40"
"광주광역시 북구 (2917000000)","418,287","418,287","25,889","39,524","50,127","53,267","61,656","71,313","62,721","35,179","16,043","2,523","45","206,675","206,675","13,178","20,556","26,418","27,675","31,360","35,302","29,762","15,739","6,102","578","5","211,612","211,612","12,711","18,968","23,709","25,592","30,296","36,011","32,959","19,440","9,941","1,945","40"
"광주광역시 광산구 (2920000000)","388,698","388,698","26,945","47,366","51,066","49,642","65,220","72,309","45,137","20,020","9,398","1,557","38","196,345","196,345","13,681","24,367","27,207","26,221","32,409","36,662","23,266","9,035","3,187","307","3","192,353","192,353","13,264","22,999","23,859","23,421","32,811","35,647","21,871","10,985","6,211","1,250","35"
"대전광역시  (3000000000)","1,442,046","1,442,046","87,324","135,917","189,274","194,321","210,031","242,883","208,249","113,663","51,539","8,621","224","718,579","718,579","44,944","69,786","98,771","103,436","105,187","121,200","101,078","52,303","19,685","2,152","37","723,467","723,467","42,380","66,131","90,503","90,885","104,844","121,683","107,171","61,360","31,854","6,469","187"
"대전광역시 동구 (3011000000)","219,500","219,500","11,229","18,503","28,307","25,475","29,519","36,391","35,307","22,225","10,871","1,626","47","110,479","110,479","5,839","9,480","15,010","13,839","15,422","19,008","17,265","10,067","4,143","395","11","109,021","109,021","5,390","9,023","13,297","11,636","14,097","17,383","18,042","12,158","6,728","1,231","36"
"대전광역시 중구 (3014000000)","226,133","226,133","11,914","19,634","25,364","26,309","31,305","38,723","35,581","23,685","11,697","1,873","48","110,827","110,827","6,047","10,035","12,773","13,645","15,780","19,667","17,249","10,548","4,554","520","9","115,306","115,306","5,867","9,599","12,591","12,664","15,525","19,056","18,332","13,137","7,143","1,353","39"
"대전광역시 서구 (3017000000)","463,867","463,867","27,939","46,062","64,036","65,290","69,633","77,150","63,566","33,456","14,228","2,453","54","227,254","227,254","14,366","23,646","32,050","34,082","33,984","37,412","30,178","15,405","5,521","603","7","236,613","236,613","13,573","22,416","31,986","31,208","35,649","39,738","33,388","18,051","8,707","1,850","47"
"대전광역시 유성구 (3020000000)","366,355","366,355","28,503","38,231","52,472","57,654","58,023","58,701","44,081","19,216","7,871","1,562","41","185,621","185,621","14,784","19,592","28,450","30,840","28,743","28,973","21,600","9,344","2,932","357","6","180,734","180,734","13,719","18,639","24,022","26,814","29,280","29,728","22,481","9,872","4,939","1,205","35"
"대전광역시 대덕구 (3023000000)","166,191","166,191","7,739","13,487","19,095","19,593","21,551","31,918","29,714","15,081","6,872","1,107","34","84,398","84,398","3,908","7,033","10,488","11,030","11,258","16,140","14,786","6,939","2,535","277","4","81,793","81,793","3,831","6,454","8,607","8,563","10,293","15,778","14,928","8,142","4,337","830","30"
